"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Buckley M.","Buckley, Mary (7202941931)","7202941931","The politics of unfree labour in Russia: Human trafficking and labour migration","2018","The Politics of Unfree Labour in Russia: Human Trafficking and Labour Migration","","","","1","331","330","14","10.1017/9781108325639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047397859&doi=10.1017%2f9781108325639&partnerID=40&md5=068edcc8822fbacca67b7bd95c23c801","Book","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85047397859"
"Chakraborty K.; Chakraborty B.","Chakraborty, Kamalika (57218381641); Chakraborty, Bidisha (18436098700)","57218381641; 18436098700","Will an increase in landholding size reduce child labour in the presence of unemployment? A theoretical analysis","2019","Economic Annals","64","221","","85","106","21","2","10.2298/EKA1921085C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078228935&doi=10.2298%2fEKA1921085C&partnerID=40&md5=72a582d7d694fcbac1814b05fb46c896","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85078228935"
"Fatima A.","Fatima, Ambreen (57222304132)","57222304132","Child labour in Pakistan: Addressing supply and demand side labour market dynamics","2017","Economic and Labour Relations Review","28","2","","294","311","17","9","10.1177/1035304617690332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019540472&doi=10.1177%2f1035304617690332&partnerID=40&md5=5c2e2a91b88c5d4fdf3d3c6f65a3a3c1","Article","Final","","Scopus","2-s2.0-85019540472"
"Vojak D.; Juzbašić V.","Vojak, Danijel (56136969400); Juzbašić, Vinko (57202406400)","56136969400; 57202406400","The romani population in Bošnjaci during World War II; [Romsko stanovništvo u Bošnjacima za vrijeme Drugoga svjetskog rata]","2018","Casopis za Suvremenu Povijest","50","1","","113","142","29","0","10.22586/csp.v50i1.45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048234079&doi=10.22586%2fcsp.v50i1.45&partnerID=40&md5=31a641fac3df1cac7fa86a3e98bd3ff3","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85048234079"
"Donahue J.L.","Donahue, Jennifer Lynn (56263108700)","56263108700","Consuming the Caribbean: Tourism, sex tourism, and land development in Nicole Dennis-Benn's here comes the sun","2019","Ariel","50","2-3","","59","80","21","2","10.1353/ari.2019.0014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070556270&doi=10.1353%2fari.2019.0014&partnerID=40&md5=0eca940b4646dd959247c00c596c644b","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85070556270"
"Balabanova M.A.","Balabanova, M.A. (57200231021)","57200231021","Children’s burials of the srubnaya culture as an object of interdisciplinary study","2018","Stratum Plus","","2","","245","258","13","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047095125&partnerID=40&md5=f4b37d5ee25934d40776ede7fe25500e","Article","Final","","Scopus","2-s2.0-85047095125"
"Harnoncourt J.","Harnoncourt, Julia (57218767252)","57218767252","Forms of unfree labour in Brazil: Dealing with racism and racialisation in amazonian agriculture","2020","Historein","19","1","","","","","1","10.12681/historein.18612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090211227&doi=10.12681%2fhistorein.18612&partnerID=40&md5=0316cba560302ca06a7c8474e3a92d77","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85090211227"
"Siman F.M.; de Oliveira M.L.R.","Siman, Frederico Magalhães (57214910954); de Oliveira, Marcelo Leles Romarco (55969444800)","57214910954; 55969444800","Contradictions of peasant survival: Knowledge, territoriality and labor in a traditional community in Minas Gerais, Brazil; [Contradições da sobrevivência camponesa: Saber, territorialidade e trabalho numa comunidade tradicional de Minas Gerais, Brasil]","2019","Revista Geografica Venezolana","60","2","","484","498","14","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079498008&partnerID=40&md5=dcf965f303a57d9de40596af76b42fa1","Article","Final","","Scopus","2-s2.0-85079498008"
"Arcury T.A.; Arnold T.J.; Quandt S.A.; Chen H.; Kearney G.D.; Sandberg J.C.; Talton J.W.; Wiggins M.F.; Daniel S.S.","Arcury, Thomas A. (7005890732); Arnold, Taylor J. (57203877920); Quandt, Sara A. (7005921858); Chen, Haiying (57126555300); Kearney, Gregory D. (56999195600); Sandberg, Joanne C. (54884900200); Talton, Jennifer W. (35338060600); Wiggins, Melinda F. (55539821300); Daniel, Stephanie S. (57202874774)","7005890732; 57203877920; 7005921858; 57126555300; 56999195600; 54884900200; 35338060600; 55539821300; 57202874774","Health and occupational injury experienced by latinx child farmworkers in North Carolina, USA","2020","International Journal of Environmental Research and Public Health","17","1","248","","","","27","10.3390/ijerph17010248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077626701&doi=10.3390%2fijerph17010248&partnerID=40&md5=8b899ae594d24ab20c33ddb105cbd262","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85077626701"
"Mantouvalou V.","Mantouvalou, Virginia (15132664800)","15132664800","Legal Construction of Structures of Exploitation","2019","Philosophical Foundations of Labour Law","","","","188","204","16","9","10.1093/oso/9780198825272.003.0011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133036526&doi=10.1093%2foso%2f9780198825272.003.0011&partnerID=40&md5=d7b9c94736e0129b99d37f5ac935bf77","Book chapter","Final","","Scopus","2-s2.0-85133036526"
"Sukhova O.A.","Sukhova, Olga A. (57193094045)","57193094045","The Soviet peasantry as a resource of mobilization economy: Historical experience and the realities of socialism; [СОВЕТСКОЕ КРЕСТЬЯНСТВО КАК РЕСУРС МОБИЛИЗАЦИОННОЙ ЭКОНОМИКИ: ИСТОРИЧЕСКИЙ ОПЫТ И РЕАЛИИ СОЦИАЛИЗМА]","2020","Ural'skij Istoriceskij Vestnik","66","1","","103","112","9","1","10.30759/1728-9718-2020-1(66)-103-112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085385483&doi=10.30759%2f1728-9718-2020-1%2866%29-103-112&partnerID=40&md5=ea4c1169f2bf9fee322cfa37a45337dc","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85085385483"
"Lennon J.","Lennon, John (10440385600)","10440385600","Kanchanaburi and the Thai-Burma railway: disputed narratives in the interpretation of war","2018","International Journal of Tourism Cities","4","1","","140","155","15","9","10.1108/IJTC-06-2017-0033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078432591&doi=10.1108%2fIJTC-06-2017-0033&partnerID=40&md5=ef8fbacea11a6ed8d96363eb4301dd61","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85078432591"
"Summers P.; Quandt S.A.; Spears Johnson C.R.; Arcury T.A.","Summers, Phillip (54890078200); Quandt, Sara A. (7005921858); Spears Johnson, Chaya R. (55899641100); Arcury, Thomas A. (7005890732)","54890078200; 7005921858; 55899641100; 7005890732","Child work safety on the farms of local agricultural market producers: Parent and child perspectives","2018","Journal of Agromedicine","23","1","","52","59","7","14","10.1080/1059924X.2017.1387635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048068711&doi=10.1080%2f1059924X.2017.1387635&partnerID=40&md5=0bd6d82ae94d077940d40cd9604f48c7","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85048068711"
"Balagopalan S.","Balagopalan, Sarada (6602425812)","6602425812","‘Afterschool and during vacations’: on labor and schooling in the postcolony","2019","Children's Geographies","17","2","","231","245","14","15","10.1080/14733285.2018.1490008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049623340&doi=10.1080%2f14733285.2018.1490008&partnerID=40&md5=234bf7b162396b453f148eab9abf5712","Article","Final","","Scopus","2-s2.0-85049623340"
"Dumont-Robillard M.","Dumont-Robillard, Myriam (58290301200)","58290301200","When governments create unfreedom: rehumanizing migrant domestic workers","2019","Labour and Industry","29","4","","337","351","14","3","10.1080/10301763.2019.1643820","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129836445&doi=10.1080%2f10301763.2019.1643820&partnerID=40&md5=51825888291a45a5b3679b462e75baf9","Article","Final","","Scopus","2-s2.0-85129836445"
"Sobers-Khan N.","Sobers-Khan, Nur (57203343210)","57203343210","Slaves without shackles: Forced labour and manumission in the galata court registers, 1560-1572","2020","Slaves without Shackles: Forced Labour and Manumission in the Galata Court Registers, 1560-1572","","","","1","384","383","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095385797&partnerID=40&md5=df5ae60f98e3874b0fc71fe617f36d30","Book","Final","","Scopus","2-s2.0-85095385797"
"Watson T.","Watson, Traci (55934770800)","55934770800","Prehistoric children as young as eight worked as brickmakers and miners","2018","Nature","561","7724","","445","446","1","5","10.1038/d41586-018-06747-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058762971&doi=10.1038%2fd41586-018-06747-w&partnerID=40&md5=66b3d3ce969d0e5bf9fda4b54402173b","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85058762971"
"Shuai H.; Liu J.","Shuai, Honglan (57217833691); Liu, Jianhong (55705847700)","57217833691; 55705847700","Human trafficking in China","2019","The Palgrave International Handbook of Human Trafficking","2","","","1241","1253","12","1","10.1007/978-3-319-63058-8_130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087050138&doi=10.1007%2f978-3-319-63058-8_130&partnerID=40&md5=0965af3e0dca8aa9bd6a31de6d5e02c0","Book chapter","Final","","Scopus","2-s2.0-85087050138"
"Fuller T.P.","Fuller, Thomas P. (13403455000)","13403455000","Child Labor","2019","Global Occupational Safety and Health Management Handbook","","","","253","274","21","0","10.1201/9780429056475-15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138021806&doi=10.1201%2f9780429056475-15&partnerID=40&md5=93091cf354cbee77593b9caee12dd143","Book chapter","Final","","Scopus","2-s2.0-85138021806"
"Perry J.A.","Perry, J. Adam (56659997700)","56659997700","Images of work, images of defiance: engaging migrant farm worker voice through community-based arts","2019","Agriculture and Human Values","36","3","","627","640","13","14","10.1007/s10460-018-9861-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044528636&doi=10.1007%2fs10460-018-9861-9&partnerID=40&md5=8e0c9c06fc64bcae808fc26c18389a3b","Article","Final","","Scopus","2-s2.0-85044528636"
"Mook A.; Overdevest C.","Mook, Anne (57202586984); Overdevest, Christine (6603317461)","57202586984; 6603317461","Does Fairtrade Certification Meet Producers' Expectations Related to Participating in Mainstream Markets? An Analysis of Advertised Benefits and Perceived Impact","2018","Sustainable Development","26","3","","269","280","11","22","10.1002/sd.1700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048810974&doi=10.1002%2fsd.1700&partnerID=40&md5=ae6adc4358548cfdfcd1990e4d898c3c","Article","Final","","Scopus","2-s2.0-85048810974"
"Kwiringira J.N.; Ariho P.; Zakumumpa H.; Mugisha J.; Rujumba J.; Mugisha M.M.","Kwiringira, Japheth Nkiriyehe (38961398000); Ariho, Paulino (57209050106); Zakumumpa, Henry (57191610518); Mugisha, James (37023472700); Rujumba, Joseph (37001398700); Mugisha, Marion Mutabazi (57209048855)","38961398000; 57209050106; 57191610518; 37023472700; 37001398700; 57209048855","Livelihood Risk, Culture, and the HIV Interface: Evidence from Lakeshore Border Communities in Buliisa District, Uganda","2019","Journal of Tropical Medicine","2019","","6496240","","","","12","10.1155/2019/6496240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066398334&doi=10.1155%2f2019%2f6496240&partnerID=40&md5=a10cddb049c3ffdee40a3b00c32a8323","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85066398334"
"Yea S.; Chok S.","Yea, Sallie (6603790935); Chok, Stephanie (58811565200)","6603790935; 58811565200","Unfreedom Unbound: Developing a Cumulative Approach to Understanding Unfree Labour in Singapore","2018","Work, Employment and Society","32","5","","925","941","16","40","10.1177/0950017017738956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053315438&doi=10.1177%2f0950017017738956&partnerID=40&md5=b623c1a822b343636948e4fd7dc548e9","Article","Final","","Scopus","2-s2.0-85053315438"
"Ramesar M.D.","Ramesar, Marianne D. (57214966327)","57214966327","Indentured labour in trinidad 1880-1917","2018","Indentured Labour in the British Empire, 1834-1920","","","","57","77","20","1","10.4324/9781351120661-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069309006&doi=10.4324%2f9781351120661-3&partnerID=40&md5=907731646d905212d3df62d71f5fe4c4","Book chapter","Final","","Scopus","2-s2.0-85069309006"
"Brovkina A.; Vezlomtsev V.; Zakharova S.; Shuranova O.; Truntsevsky Y.","Brovkina, Alexandra (57212380747); Vezlomtsev, Victor (57212386005); Zakharova, Svetlana (57212377246); Shuranova, Olga (57212377545); Truntsevsky, Yuri (57202821475)","57212380747; 57212386005; 57212377246; 57212377545; 57202821475","System of criminal penalties of Russian federation: Legal regulation and sentencing practice","2019","E3S Web of Conferences","135","","04066","","","","12","10.1051/e3sconf/201913504066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076509407&doi=10.1051%2fe3sconf%2f201913504066&partnerID=40&md5=380ae16c184ffb48473fe37670b1c200","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85076509407"
"Luckstead J.; Tsiboe F.; Nalley L.L.","Luckstead, Jeff (35315867600); Tsiboe, Francis (57188804159); Nalley, Lawton L. (55837353600)","35315867600; 57188804159; 55837353600","Estimating the economic incentives necessary for eliminating child labor in Ghanaian cocoa production","2019","PLoS ONE","14","6","e0217230","","","","17","10.1371/journal.pone.0217230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067172567&doi=10.1371%2fjournal.pone.0217230&partnerID=40&md5=f81adc6c501c77cf4e1a61b76094e0d2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85067172567"
"Chesney T.; Evans K.; Gold S.; Trautrims A.","Chesney, Thomas (23491520600); Evans, Keith (57205354771); Gold, Stefan (7202072222); Trautrims, Alexander (55439938200)","23491520600; 57205354771; 7202072222; 55439938200","Understanding labour exploitation in the Spanish agricultural sector using an agent based approach","2019","Journal of Cleaner Production","214","","","696","704","8","28","10.1016/j.jclepro.2018.12.282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059697157&doi=10.1016%2fj.jclepro.2018.12.282&partnerID=40&md5=c35f9e6d09361b7fad052d9a723dacc0","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85059697157"
"Cockbain E.; Brayley-Morris H.","Cockbain, Ella (55509655800); Brayley-Morris, Helen (56741498600)","55509655800; 56741498600","Human trafficking and labour exploitation in the casual construction industry: An analysis of three major investigations in the UK involving Irish Traveller offending groups","2018","Policing (Oxford)","12","2","","129","149","20","28","10.1093/police/pax032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048595795&doi=10.1093%2fpolice%2fpax032&partnerID=40&md5=fcbf28c5a2e9cf56176daac8139f24b0","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85048595795"
"Mayhew C.","Mayhew, Claire (7006256709)","7006256709","Work-related injuries among adolescent and child workers: The non-reported OHS epidemic","2018","Occupational Health and Safety: International Influences and the ""New"" Epidemics","","","","97","116","19","4","10.4324/9781315224015-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947670227&doi=10.4324%2f9781315224015-6&partnerID=40&md5=587f4745d8f7832f5245c16900657ca6","Book chapter","Final","","Scopus","2-s2.0-33947670227"
"Donatelli S.; de Gouveia Vilela R.A.; Querol M.A.P.; Gemma S.F.B.","Donatelli, Sandra (57190734961); de Gouveia Vilela, Rodolfo Andrade (36823862800); Querol, Marco Antonio Pereira (56160496800); Gemma, Sandra Francisca Bezerra (36084294000)","57190734961; 36823862800; 56160496800; 36084294000","Envisioning a solution for a runaway object: A formative intervention in a child labor combat network","2019","Collaborative Development for the Prevention of Occupational Accidents and Diseases: Change Laboratory in Workers' Health","","","","113","130","17","0","10.1007/978-3-030-24420-0_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089039222&doi=10.1007%2f978-3-030-24420-0_8&partnerID=40&md5=aa215db042ae4ef7bca4431a23a002cb","Book chapter","Final","","Scopus","2-s2.0-85089039222"
"Dragoman R.-A.; Oanţă-Marghitu S.; Vasilescu T.; Florea M.; Nicolae C.","Dragoman, Radu-Alexandru (57203685286); Oanţă-Marghitu, Sorin (26038635400); Vasilescu, Tiberiu (57203689541); Florea, Mihai (55774640100); Nicolae, Cătălin (57204924825)","57203685286; 26038635400; 57203689541; 55774640100; 57204924825","The ruins of a modernist project: Archaeological surveys in the communist-era former forced labour colony at Galeșu/Nazar cea, the Danube – Black Sea Canal; [Ruinele unui proiect modernist: Cercetări arheologice în fosta colonie de muncă forţată din perioada comunistă de la Galeşu/Nazarcea, canalul Dunăre – Marea Neagră]","2018","Materiale si Cercetari Arheologice","","14","","265","286","21","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057826550&partnerID=40&md5=2a5dd5e26ece9afe295d9b349df0deb0","Review","Final","","Scopus","2-s2.0-85057826550"
"Ochirov U.B.; Vorobyova V.N.","Ochirov, Utash B. (55480970500); Vorobyova, Valentina N. (57219936193)","55480970500; 57219936193","Kalmyk red army soldiers in shirokovsky forced labor camp: A statistical survey","2020","Oriental Studies","13","2","","330","357","27","7","10.22162/2619-0990-2020-48-2-330-357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096160865&doi=10.22162%2f2619-0990-2020-48-2-330-357&partnerID=40&md5=0a06f7103425c98050a45961cf73fe87","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85096160865"
"Powell B.","Powell, Benjamin (15023138300)","15023138300","Sweatshop Regulation: Tradeoffs and Welfare Judgements","2018","Journal of Business Ethics","151","1","","29","36","7","10","10.1007/s10551-016-3227-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050523722&doi=10.1007%2fs10551-016-3227-2&partnerID=40&md5=21185ea2677004d2ba55525ca486db6f","Article","Final","","Scopus","2-s2.0-85050523722"
"Stepanov M.","Stepanov, Mikhail (57223890320)","57223890320","Forced migration of labor resources (on the example of deportation of germans to Khakassia); [Принудительная миграция трудовых ресурсов (на примере депортации немцев в Хакасию)]","2020","Historia i Swiat","9","","","147","154","7","0","10.34739/his.2020.09.09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106347653&doi=10.34739%2fhis.2020.09.09&partnerID=40&md5=3f7a81f02f4670205d48ab7f7b40d83e","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85106347653"
"Roberts A.R.","Roberts, Andrea R. (57195102935)","57195102935","Haunting as agency: A critical cultural landscape approach to making black labor visible in Sugar Land, Texas","2020","ACME","19","1","","210","244","34","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085993308&partnerID=40&md5=47d845ac9658ac17a45a8fe75337b287","Article","Final","","Scopus","2-s2.0-85085993308"
"Cho S.-H.; Fang X.; Tayur S.; Xu Y.","Cho, Soo-Haeng (56984278200); Fang, Xin (56447641600); Tayur, Sridhar (57203242681); Xu, Ying (36802844900)","56984278200; 56447641600; 57203242681; 36802844900","Combating child labor: Incentives and information disclosure in global supply chains","2019","Manufacturing and Service Operations Management","21","3","","692","711","19","90","10.1287/msom.2018.0733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074541923&doi=10.1287%2fmsom.2018.0733&partnerID=40&md5=453e556b44f2ccf707913e6b52f5c2d9","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85074541923"
"Wade A.D.","Wade, Alan D. (57209533410)","57209533410","On humanizing the bureaucracies","2017","Politics and African-American Ghettos","","","","165","169","4","0","10.4324/9781315126784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068048449&doi=10.4324%2f9781315126784&partnerID=40&md5=c6e8679bfaa910557b14ed6fc4b8d29b","Book chapter","Final","","Scopus","2-s2.0-85068048449"
"Bertrand W.; De Buhr E.","Bertrand, William (7004329793); De Buhr, Elke (56000334800)","7004329793; 56000334800","Trade, Development and Child Labor: Regulation and Law in the Case of Child Labor in the Cocoa Industry","2015","Law and Development Review","8","2","","503","521","18","7","10.1515/ldr-2015-0019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953280471&doi=10.1515%2fldr-2015-0019&partnerID=40&md5=d53be14c1e95d85aa7fa0ee50fdcb809","Conference paper","Final","","Scopus","2-s2.0-84953280471"
"Grebenyuk P.S.","Grebenyuk, Pavel S. (57191985497)","57191985497","Dalstroy management staff (1938 - 1945)","2016","Novyj Istoriceskij Vestnik","49","3","","78","102","24","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995676349&partnerID=40&md5=e59d6a358c178feb67b1b674c50f0aa0","Review","Final","","Scopus","2-s2.0-84995676349"
"Smith C.; Chan J.","Smith, Chris (57286957500); Chan, Jenny (55682540900)","57286957500; 55682540900","Working for two bosses: Student interns as constrained labour in China","2015","Human Relations","68","2","","305","326","21","36","10.1177/0018726714557013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922309682&doi=10.1177%2f0018726714557013&partnerID=40&md5=50213a49556cec3946b0c6bb7b23840f","Article","Final","","Scopus","2-s2.0-84922309682"
"Jaskot P.B.","Jaskot, Paul B. (36486294100)","36486294100","Building the nazi economy adam tooze and a cultural critique of hitler's plans for war","2014","Historical Materialism","22","3-4","","312","329","17","2","10.1163/1569206X-12341378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923870908&doi=10.1163%2f1569206X-12341378&partnerID=40&md5=f9d0d05fbcca0f8773a80be50c34ec32","Review","Final","","Scopus","2-s2.0-84923870908"
"Pohl J.O.","Pohl, J. Otto (55571991800)","55571991800","The Persecution of Ethnic Germans in the USSR during World War II","2016","Russian Review","75","2","","284","303","19","3","10.1111/russ.12075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962459552&doi=10.1111%2fruss.12075&partnerID=40&md5=1a148e7bc918a75ced8246fc3ede50a5","Article","Final","","Scopus","2-s2.0-84962459552"
"Urbano A.","Urbano, Annalisa (57191990144)","57191990144","A Grandiose Future for Italian Somalia: Colonial Developmentalist Discourse, Agricultural Planning, and Forced Labor (1900-1940)","2017","International Labor and Working-Class History","92","","","69","88","19","5","10.1017/S0147547917000096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046654864&doi=10.1017%2fS0147547917000096&partnerID=40&md5=760ada4c7ee9b8f94d5a449273a3d888","Review","Final","","Scopus","2-s2.0-85046654864"
"Valls M.I.","Valls, Martín Iturralde (57193314987)","57193314987","Child work in calico factories: Barcelona, 1768-1800; [El trabajo infantil en las fábricas de Indianas: Barcelona, 1736-1800]","2017","Revista de Historia Industrial","26","68","","13","46","33","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033580995&partnerID=40&md5=07f5d97577a381f46db5ff06a1cc998d","Review","Final","","Scopus","2-s2.0-85033580995"
"BabyLaw Okoli R.C.","BabyLaw Okoli, Rosemary Chinyere (56685671700)","56685671700","Ethical issues and dilemmas in doing research with itinerant street vending children and young people: Experiences from Nigeria","2015","Qualitative Social Work","14","4","","538","553","15","4","10.1177/1473325014556793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931059152&doi=10.1177%2f1473325014556793&partnerID=40&md5=8c7d6d0a3c25216884415ada8a068493","Article","Final","","Scopus","2-s2.0-84931059152"
"Islam M.A.","Islam, Muhammad Azizul (59030365000)","59030365000","Social Audits and Global Clothing Supply Chains: Some Observations","2015","CSR, Sustainability, Ethics and Governance","","","","103","116","13","0","10.1007/978-3-319-10909-1_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130927178&doi=10.1007%2f978-3-319-10909-1_5&partnerID=40&md5=e17179f658f7b7631e345b8a41822601","Book chapter","Final","","Scopus","2-s2.0-85130927178"
"Junaid M.; Malik R.N.; Pei D.-S.","Junaid, Muhammad (55674063400); Malik, Riffat Naseem (8635303900); Pei, De-Sheng (15848822700)","55674063400; 8635303900; 15848822700","Health hazards of child labor in the leather products and surgical instrument manufacturing industries of Sialkot, Pakistan","2017","Environmental Pollution","226","","","198","211","13","29","10.1016/j.envpol.2017.04.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017614414&doi=10.1016%2fj.envpol.2017.04.026&partnerID=40&md5=f49f5b2dbffec69b7f0b2d6609dcc319","Article","Final","","Scopus","2-s2.0-85017614414"
"Yea S.","Yea, Sallie (6603790935)","6603790935","The art of not being caught: Temporal strategies for disciplining unfree labour in Singapore's contract migration","2017","Geoforum","78","","","179","188","9","52","10.1016/j.geoforum.2016.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970021405&doi=10.1016%2fj.geoforum.2016.05.003&partnerID=40&md5=974e40be07985859e91e13b17e0d42fd","Article","Final","","Scopus","2-s2.0-84970021405"
"Sumitra C.; Chandra J.N.","Sumitra, Chandra (56543437000); Chandra, Jana Narayan (56542890100)","56543437000; 56542890100","Origin and work status of child labourers: A case study of howrah slum in west bengal, india","2014","Transactions of the Institute of Indian Geographers","36","2","","247","257","10","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924407060&partnerID=40&md5=a5625d498ba2ed9ba93a9173d38ec6f2","Article","Final","","Scopus","2-s2.0-84924407060"
"Gómez-Paredes J.; Alsamawi A.; Yamasue E.; Okumura H.; Ishihara K.N.; Geschke A.; Lenzen M.","Gómez-Paredes, Jorge (56488019800); Alsamawi, Ali (56008189000); Yamasue, Eiji (6507381150); Okumura, Hideyuki (7201583997); Ishihara, Keiichi N. (7402878459); Geschke, Arne (54882097700); Lenzen, Manfred (7003767895)","56488019800; 56008189000; 6507381150; 7201583997; 7402878459; 54882097700; 7003767895","Consuming Childhoods: An Assessment of Child Labor's Role in Indian Production and Global Consumption","2016","Journal of Industrial Ecology","20","3","","611","622","11","24","10.1111/jiec.12464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977071036&doi=10.1111%2fjiec.12464&partnerID=40&md5=dac0db53545174ecb1befacd7b463ccd","Article","Final","","Scopus","2-s2.0-84977071036"
"Cammaert J.V.","Cammaert, Jessica V. (56922168400)","56922168400","'I WANT to FOLLOW KWAKU': The CONSTRUCTION of SELF and HOME by UNFREE CHILDREN in the GOLD COAST, c. 1941","2015","Journal of African History","56","3","","373","388","15","0","10.1017/S002185371500050X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945190298&doi=10.1017%2fS002185371500050X&partnerID=40&md5=17b734f5a1b4532efa39dbb7cfe48b65","Article","Final","","Scopus","2-s2.0-84945190298"
"Morris B.","Morris, Brian (56854833800)","56854833800","The Plantation Economy","2016","Palgrave Studies in World Environmental History","","","","117","148","31","1","10.1007/978-3-319-45258-6_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115343876&doi=10.1007%2f978-3-319-45258-6_5&partnerID=40&md5=435520b9409fceea5cd507b60557eb0e","Book chapter","Final","","Scopus","2-s2.0-85115343876"
"Azari-Rad H.; Philips P.; Prus M.J.","Azari-Rad, Hamid (6507338460); Philips, Peter (7004573232); Prus, Mark J. (6602967267)","6507338460; 7004573232; 6602967267","Prevailing wage regulations and public policy in the construction industry","2017","The Economics of Prevailing Wage Laws","","","","3","27","24","0","10.4324/9781315240107-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082493584&doi=10.4324%2f9781315240107-7&partnerID=40&md5=f0916c99f90cfb1d017bbd92c05e5cae","Book chapter","Final","","Scopus","2-s2.0-85082493584"
