,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
119,Zarhi B.,"Zarhi, Ben (58370172100)",58370172100,Expressly Orient? Britain’s railway-making in pre-colonial Egypt,2023,Mediterranean Historical Review,38,1,,113,132,19.0,0,10.1080/09518967.2023.2177816,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163193010&doi=10.1080%2f09518967.2023.2177816&partnerID=40&md5=98b09a67fb1003af85601e3eb55a6b7d,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85163193010
120,Cole R.; Shirgholami Z.,"Cole, Rosanna (57201550965); Shirgholami, Zahra (57188981184)",57201550965; 57188981184,The outlook for modern slavery in the apparel sector in a post-lockdown economy,2022,Supply Chain Management,27,4,,526,537,11.0,24,10.1108/SCM-06-2020-0245,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107799759&doi=10.1108%2fSCM-06-2020-0245&partnerID=40&md5=9512dc2e61e441379725acdab1de4612,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85107799759
122,Giri A.K.; Singh S.P.,"Giri, Amit K. (57215666413); Singh, S.P. (58262655600)",57215666413; 58262655600,India’s hand-knotted carpet industry in reforms era: export performances and challenges,2022,International Journal of Business and Globalisation,31,1,,17,35,18.0,1,10.1504/IJBG.2022.124521,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135752702&doi=10.1504%2fIJBG.2022.124521&partnerID=40&md5=26f7cd8776f07c1ea23bd87689e8c3ab,Article,Final,,Scopus,2-s2.0-85135752702
123,Rogaly B.,"Rogaly, Ben (6701342975)",6701342975,Commentary: Agricultural racial capitalism and rural migrant workers,2021,Journal of Rural Studies,88,,,527,531,4.0,19,10.1016/j.jrurstud.2021.07.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110478335&doi=10.1016%2fj.jrurstud.2021.07.006&partnerID=40&md5=63aa4a458eac3d1929e4f89ba2ba3ab9,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85110478335
124,Krasnozhenova E.E.; Greben E.A.,"Krasnozhenova, E.E. (57222167852); Greben, E.A. (57222167247)",57222167852; 57222167247,Forced Labor of the Population under the Nazi Occupation of 1941-1944 (Based on the Materials of the Border Territory of Belarus and the North-West of Russia); [Принудительный труд населения в условиях нацистской оккупации 1941-1944 гг. (на материалах пограничной территории Беларуси и Северо-Запада России)],2022,Modern History of Russia,12,1,,908,920,12.0,0,10.21638/11701/SPBU24.2021.405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134475535&doi=10.21638%2f11701%2fSPBU24.2021.405&partnerID=40&md5=5d4a129f023154a0c4962210bdfe77e3,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85134475535
125,Retamal M.; Brydges T.; Sharpe S.; Ferrero-Regis T.; Fisher D.; Gwilt A.; Lake L.; Holgar M.; Khan R.; Nay Z.; Payne A.; Roberts K.,"Retamal, Monique (36167093700); Brydges, Taylor (57193852676); Sharpe, Samantha (55824687200); Ferrero-Regis, Tiziana (57044759800); Fisher, Deborah (58306947700); Gwilt, Alison (56469812900); Lake, Lisa (57703567400); Holgar, Monika (57754253800); Khan, Rimi (42661396400); Nay, Zoe (57226502672); Payne, Alice (51061558300); Roberts, Katie (58307344900)",36167093700; 57193852676; 55824687200; 57044759800; 58306947700; 56469812900; 57703567400; 57754253800; 42661396400; 57226502672; 51061558300; 58307344900,State of play in Australian sustainable fashion research: Current and future directions,2023,International Journal of Fashion Studies,10,1,,19,49,30.0,0,10.1386/infs_00083_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161309775&doi=10.1386%2finfs_00083_1&partnerID=40&md5=273c0d430efaf64f83cb06cbdb8c1bba,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85161309775
127,Sirilertsuwan P.; Thomassey S.; Zeng X.; Chen Y.,"Sirilertsuwan, Petchprakai (57202360502); Thomassey, Sébastien (7801643865); Zeng, Xianyi (55512876800); Chen, Yan (55941411900)",57202360502; 7801643865; 55512876800; 55941411900,How Living Wages Influence Apparel Costs and Comparative Advantages among Different Multi-tier Supply Chains,2022,Journal of Fiber Bioengineering and Informatics,15,1,,1,15,14.0,6,10.3993/jfbim00377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141426047&doi=10.3993%2fjfbim00377&partnerID=40&md5=5f4be76fe3f4f09085ad0dd774d043c1,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85141426047
128,Tabaszewski W.; Wardas-Lasoń M.,"Tabaszewski, Wojciech (58414147900); Wardas-Lasoń, Marta (6701791880)",58414147900; 6701791880,"Results of Archaeological Rescue Excavations at the Site of the Former German Forced Labour Camp KL Jawischowitz, Oświęcim District; [Wyniki ratowniczych badań archeologicznych na terenie byłego niemieckiego obozu pracy przymusowej KL Jawischowitz, pow. Oświęcim]",2022,Acta Universitatis Lodziensis. Folia Archaeologica,,37,,51,87,36.0,1,10.18778/0208-6034.37.03,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163766342&doi=10.18778%2f0208-6034.37.03&partnerID=40&md5=cae6bdce5cfe1dec26bc23fdd249a495,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85163766342
129,Gregg A.; Matiashvili T.,"Gregg, Amanda (57189192780); Matiashvili, Tamar (58010251900)",57189192780; 58010251900,"Modernization in Progress: Part-Year Operation, Mechanization, and Labor Force Composition in Late Imperial Russia",2022,Journal of Economic History,82,4,,1143,1182,39.0,4,10.1017/S0022050722000341,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143990106&doi=10.1017%2fS0022050722000341&partnerID=40&md5=f0da412e161d9697549e8ee3e96c2601,Article,Final,,Scopus,2-s2.0-85143990106
130,Pereira C.; Pereira A.; Budal A.; Dahal S.; Daniel-Wrabetz J.; Meshelemiah J.; Carvalho J.; Ramos M.J.; Carmo R.M.; Pires R.P.,"Pereira, Cláudia (57194218570); Pereira, Alexandra (57224732110); Budal, Aashima (57224735399); Dahal, Sanjeev (57216300112); Daniel-Wrabetz, Joana (57224726899); Meshelemiah, Jacquelyn (57192121645); Carvalho, João (55863316900); Ramos, Manuel João (56409331900); Carmo, Renato Miguel (57201679614); Pires, Rui Pena (55522588900)",57194218570; 57224732110; 57224735399; 57216300112; 57224726899; 57192121645; 55863316900; 56409331900; 57201679614; 55522588900,"‘If you don't migrate, you're a nobody’: Migration recruitment networks and experiences of Nepalese farm workers in Portugal",2021,Journal of Rural Studies,88,,,500,509,9.0,16,10.1016/j.jrurstud.2021.04.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106234505&doi=10.1016%2fj.jrurstud.2021.04.019&partnerID=40&md5=53bb80c3d31ac90bff956aff5c36d5ce,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85106234505
131,Malanski P.D.; Schiavi S.M.D.A.; Dedieu B.,"Malanski, Priscila Duarte (57200193232); Schiavi, Sandra Mara De Alencar (57212174261); Dedieu, Benoît (6602706869)",57200193232; 57212174261; 6602706869,Work in agriculture in the international scientific literature (2010-2019); [Le travail en agriculture dans la littérature académique internationale (2010-2019)],2022,Cahiers Agricultures,31,,23,,,,0,10.1051/cagri/2022021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141306629&doi=10.1051%2fcagri%2f2022021&partnerID=40&md5=b02fb6845458b82269356137b9ac5fa7,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85141306629
132,Ango T.G.; Börjeson L.; Wisborg P.; Senbeta F.; Alem H.,"Ango, Tola Gemechu (56096756600); Börjeson, Lowe (18633491600); Wisborg, Poul (14420557600); Senbeta, Feyera (7801420412); Alem, Habtamu (57202499663)",56096756600; 18633491600; 14420557600; 7801420412; 57202499663,"Coffee, child labour, and education: Examining a triple social–ecological trade-off in an Afromontane forest landscape",2022,International Journal of Educational Development,95,,102681,,,,6,10.1016/j.ijedudev.2022.102681,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140716091&doi=10.1016%2fj.ijedudev.2022.102681&partnerID=40&md5=3bc62efdaf472d4aa8a21bde91b4b58c,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85140716091
133,Faleri C.,"Faleri, Claudia (57521136800)",57521136800,Ecological transition and social sustainability for Agriculture 4.0; [Transizione ecologica e sostenibilità sociale per un’Agricoltura 4.0],2022,Lavoro e Diritto,36,2,,449,467,18.0,1,10.1441/103990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167900880&doi=10.1441%2f103990&partnerID=40&md5=e7361adc963a11969d2761e8726b6631,Article,Final,,Scopus,2-s2.0-85167900880
134,Walsh D.; Pajón L.; Lawson K.; Hafeez K.; Heath M.; Court N.,"Walsh, Dave (16403756300); Pajón, Laura (57194332027); Lawson, Karen (57196663717); Hafeez, Khalid (6602384087); Heath, Mark (57718456900); Court, Neil (57718513500)",16403756300; 57194332027; 57196663717; 6602384087; 57718456900; 57718513500,Increased Risks of Labor Exploitation in the UK following Brexit and the Covid-19 Pandemic: Perspectives of the Agri-food and Construction Sectors,2022,Journal of Human Trafficking,,,,,,,5,10.1080/23322705.2022.2079063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130986333&doi=10.1080%2f23322705.2022.2079063&partnerID=40&md5=b9ca099a6228bae6ff1a83a60559a778,Article,Article in press,All Open Access; Green Open Access,Scopus,2-s2.0-85130986333
135,Rose L.; Shepard A.,"Rose, Liam (57217525837); Shepard, Asha (57223864887)",57217525837; 57223864887,Examining persistent effects of extractive institutions in the United States,2022,Economics and Politics,34,1,,142,170,28.0,0,10.1111/ecpo.12190,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106215665&doi=10.1111%2fecpo.12190&partnerID=40&md5=be368e76071cb3600d3aa094ddbe171f,Article,Final,,Scopus,2-s2.0-85106215665
136,Williams B.A.,"Williams, Beth Ann (57188859544)",57188859544,"“Bananas are for Women, Coffee is for Men”: Gendered Narratives of Agricultural Histories on Mount Meru, Tanzania",2022,African Studies Review,65,1,,143,165,22.0,2,10.1017/asr.2021.120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124725893&doi=10.1017%2fasr.2021.120&partnerID=40&md5=15a28d64b452d242d02dafbcba9ebfcf,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85124725893
137,Anderson C.; Moss K.; Jackson S.J.,"Anderson, Clare (7404306729); Moss, Kellie (56878590500); Jackson, Shammane Joseph (57971975800)",7404306729; 56878590500; 57971975800,Coloniality and the Criminal Justice System: Empire and its Legacies in Guyana,2022,Slavery and Abolition,43,4,,682,704,22.0,4,10.1080/0144039X.2022.2114637,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142243378&doi=10.1080%2f0144039X.2022.2114637&partnerID=40&md5=750824285b6803938154df9d4c5173b7,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85142243378
138,Alghababsheh M.; Gallear D.,"Alghababsheh, Mohammad (57203882410); Gallear, David (8054646200)",57203882410; 8054646200,Socially Sustainable Supply Chain Management and Suppliers’ Social Performance: The Role of Social Capital,2021,Journal of Business Ethics,173,4,,855,875,20.0,75,10.1007/s10551-020-04525-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085102513&doi=10.1007%2fs10551-020-04525-1&partnerID=40&md5=35fb70cb004b469f0eda676eb644efc8,Article,Final,,Scopus,2-s2.0-85085102513
139,Degani P.,"Degani, Paola (41861267400)",41861267400,Domestic/Care Work and Severe Exploitation. The Limits of Italian Migrant Regularization Schemes,2022,Frontiers in Human Dynamics,4,,818351,,,,2,10.3389/fhumd.2022.818351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177836279&doi=10.3389%2ffhumd.2022.818351&partnerID=40&md5=da32f52fa674d57ccc85a6c7661b120b,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85177836279
141,Granberg M.,"Granberg, Magnus (56442414400)",56442414400,Economic form and the mutual constitution of social inequalities; [Ekonomisk form och den omsesidiga konstitueringen av ojamlika sociala relationer],2022,Sociologisk Forskning,59,1-2,,75,99,24.0,0,10.37062/SF.59.23509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134661507&doi=10.37062%2fSF.59.23509&partnerID=40&md5=80624df63234ecd16977bca7fdf1c4c3,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85134661507
142,Lafargue P.; Rogerson M.; Parry G.C.; Allainguillaume J.,"Lafargue, Pedro (57225180595); Rogerson, Michael (57216879495); Parry, Glenn C. (56204862100); Allainguillaume, Joel (6507115615)",57225180595; 57216879495; 56204862100; 6507115615,Broken chocolate: biomarkers as a method for delivering cocoa supply chain visibility,2022,Supply Chain Management,27,6,,728,741,13.0,23,10.1108/SCM-11-2020-0583,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109369025&doi=10.1108%2fSCM-11-2020-0583&partnerID=40&md5=8441ab8e32c38818124bdf343ec05ccf,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85109369025
143,Akgül B.,"Akgül, Başak (57218338772)",57218338772,"Being a Forestry Labourer in the Late Ottoman Empire: Debt Bondage, Migration, and Sedentarization",2022,International Review of Social History,67,3,,467,486,19.0,2,10.1017/S0020859022000281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128456667&doi=10.1017%2fS0020859022000281&partnerID=40&md5=05e70d3fd93cfe1b5dca294e4c726dcd,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85128456667
144,O’sullivan C.; Murphy C.,"O’sullivan, Charles (56811446600); Murphy, Cliodhna (55794922300)",56811446600; 55794922300,THE “SPECIAL STRUCTURAL VULNERABILITY” WITHIN MIGRANT AGRICULTURAL WORK: A CASE STUDY OF THE IRISH AGRI-FOOD WORKERS SCHEME,2022,Irish Jurist,68,,,50,72,22.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149706437&partnerID=40&md5=b8640028799d4c8ce058e1ec8cfdfdeb,Article,Final,,Scopus,2-s2.0-85149706437
145,Cabezas M.,"Cabezas, Mar (57189469810)",57189469810,child youtubers and specific goods of childhood: when exploration and play become work; [youtubers infantis e bens específicos da infância: quando a exploração e a brincadeira tornam-se trabalho]; [youtubers infantiles y bienes específicos de la infancia: cuando la exploración y el juego se convierten en trabajo],2022,Childhood and Philosophy,18,,,1,34,33.0,0,10.12957/childphilo.2022.64682,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148054519&doi=10.12957%2fchildphilo.2022.64682&partnerID=40&md5=7a5ab21156c1796eba803ffdec72c8df,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85148054519
147,Telles T.S.; Marques F.C.; DelGrossi M.E.,"Telles, Tiago Santos (36983111700); Marques, Felipe César (59161440000); DelGrossi, Mauro Eduardo (57195525677)",36983111700; 59161440000; 57195525677,"Aging, male dominance, and decline of agricultural workers in the Central-West Brazilian labor market",2022,World Food Policy,8,1,,62,84,22.0,0,10.1002/wfp2.12036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197439658&doi=10.1002%2fwfp2.12036&partnerID=40&md5=e8c0b3803052f470a93b9c156c536e2e,Article,Final,,Scopus,2-s2.0-85197439658
148,Gogl S.,"Gogl, Simon (57203871664)",57203871664,"The German construction industry and industrial self-responsibility in occupied Europe, 1939–45",2023,Scandinavian Economic History Review,71,2,,157,175,18.0,0,10.1080/03585522.2021.1984301,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118219195&doi=10.1080%2f03585522.2021.1984301&partnerID=40&md5=6f87e2c0bb33a68333b67634f8b57ad8,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85118219195
149,Berry H.,"Berry, Helen (58133354000)",58133354000,The occupational distribution of foundling apprentices during the English Industrial Revolution,2023,Social History,48,2,,259,283,24.0,0,10.1080/03071022.2023.2179747,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151673682&doi=10.1080%2f03071022.2023.2179747&partnerID=40&md5=516ab89d36ebe38dbbbbd8bef01905c3,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85151673682
150,Lu J.L.,"Lu, Jinky Leilanie (8640863900)",8640863900,State and Trends of Occupational Health and Safety in the Philippines,2022,Acta Medica Philippina,56,1,,59,72,13.0,4,10.47895/amp.v56i1.3865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124650561&doi=10.47895%2famp.v56i1.3865&partnerID=40&md5=ac39de65fe3e1a37d020a3766f66d22e,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85124650561
151,McGaughey F.; Voss H.; Cullen H.; Davis M.C.,"McGaughey, Fiona (57194699058); Voss, Hinrich (17436052800); Cullen, Holly (6604085241); Davis, Matthew C (55475343800)",57194699058; 17436052800; 6604085241; 55475343800,"Corporate Responses to Tackling Modern Slavery: A Comparative Analysis of Australia, France and the United Kingdom",2022,Business and Human Rights Journal,7,2,,249,270,21.0,18,10.1017/bhj.2021.47,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119665059&doi=10.1017%2fbhj.2021.47&partnerID=40&md5=7dd6801c8574e1e796a5c0cf12cf380c,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85119665059
152,Udovenko I.V.,"Udovenko, Il'ya V. (58182519500)",58182519500,Forced labor camps in the territory of Moscow Governorate in 1919–1922: work and everyday life,2022,Historia Provinciae - Zurnal Regional'noj Istorii,6,4,,1117,1160,43.0,0,10.23859/2587-8344-2022-6-4-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152445596&doi=10.23859%2f2587-8344-2022-6-4-1&partnerID=40&md5=667051f97f716e53a70f493b429bdb62,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85152445596
155,Castellani P.; Ferronato N.; Torretta V.,"Castellani, Pietro (57931965000); Ferronato, Navarro (57193131717); Torretta, Vincenzo (55203392100)",57931965000; 57193131717; 55203392100,Setting priorities to achieve Sustainable Development Goals through appropriate waste management systems in Uganda,2022,Environmental Development,44,,100764,,,,15,10.1016/j.envdev.2022.100764,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140056156&doi=10.1016%2fj.envdev.2022.100764&partnerID=40&md5=a31cc76fdae02a1bf57fc78ed9a7fcdb,Review,Final,,Scopus,2-s2.0-85140056156
156,López-Sala A.; Molinero-Gerbeau Y.,"López-Sala, Ana (6507412738); Molinero-Gerbeau, Yoan (57201699417)",6507412738; 57201699417,COMING OUT OF THE SHADOWS? HOUSING CONDITIONS OF IRREGULAR MIGRANT WORKERS IN SPANISH AGRICULTURAL ENCLAVES,2022,Calitatea Vietii,33,2,,,,,2,10.46841/RCV.2022.02.02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132173406&doi=10.46841%2fRCV.2022.02.02&partnerID=40&md5=1ff7d02642ae0cc840703a39b9f56c2c,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85132173406
157,Brito-Marcelino A.; Marcelino K.B.; Cerqueira E.,"Brito-Marcelino, Arthur (57219531739); Marcelino, Katienne Brito (57219534865); Cerqueira, Eloanne (58296620400)",57219531739; 57219534865; 58296620400,"Worker’s Health Quest: disease, prevention, and edutainment; [Trilhando pela saúde do trabalhador e da trabalhadora: o agravo, a prevenção e a ludicidade]",2023,Revista Brasileira de Medicina do Trabalho,21,1,e2023810,,,,0,10.47626/1679-4435-2023-810,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160769959&doi=10.47626%2f1679-4435-2023-810&partnerID=40&md5=85e3e936ceb28d9d4f2064c7e506128c,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85160769959
159,Fernando Y.; Halili M.; Tseng M.-L.; Tseng J.W.; Lim M.K.,"Fernando, Yudi (26664524300); Halili, Munira (57660866000); Tseng, Ming-Lang (44261803600); Tseng, Jiun Wei (57300435800); Lim, Ming K. (7201473042)",26664524300; 57660866000; 44261803600; 57300435800; 7201473042,Sustainable social supply chain practices and firm social performance: Framework and empirical evidence,2022,Sustainable Production and Consumption,32,,,160,172,12.0,43,10.1016/j.spc.2022.04.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129248800&doi=10.1016%2fj.spc.2022.04.020&partnerID=40&md5=6874be130c40989f7a773add59361e44,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85129248800
160,Deberdt R.; Le Billon P.,"Deberdt, Raphael (57224528005); Le Billon, Philippe (7801591752)",57224528005; 7801591752,The Green Transition in Context—Cobalt Responsible Sourcing for Battery Manufacturing,2022,Society and Natural Resources,35,7,,784,803,19.0,16,10.1080/08941920.2022.2049410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127147525&doi=10.1080%2f08941920.2022.2049410&partnerID=40&md5=c74fb057a01d9a8e0c8d04d502119007,Review,Final,,Scopus,2-s2.0-85127147525
161,Ferrante V.,"Ferrante, Vincenzo (57189660870)",57189660870,Worker’s rights and sustainable development; [DIRITTI DEI LAVORATORI E SVILUPPO SOSTENIBILE],2022,JUS Rivista di Scienze Giuridiche,2022,3,,349,369,20.0,0,10.26350/004084_000145,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158081939&doi=10.26350%2f004084_000145&partnerID=40&md5=55e2b3f350bd11d91bbc4fbe82c56b47,Article,Final,,Scopus,2-s2.0-85158081939
162,Shilling H.-J.; Wiedmann T.; Malik A.,"Shilling, Hannah-Jayne (57226141473); Wiedmann, Thomas (11940678500); Malik, Arunima (56112637000)",57226141473; 11940678500; 56112637000,Modern slavery footprints in global supply chains,2021,Journal of Industrial Ecology,25,6,,1518,1528,10.0,16,10.1111/jiec.13169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110587365&doi=10.1111%2fjiec.13169&partnerID=40&md5=8a6b3d3334f5382ec6bf3d05f23fa942,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85110587365
164,Koruk F.; Eroğlu K.; Koruk İ.; Çelik K.; Güner P.,"Koruk, Fatma (57204691361); Eroğlu, Kafiye (6603272449); Koruk, İbrahim (8503425800); Çelik, Kezban (25225041600); Güner, Perihan (8882430000)",57204691361; 6603272449; 8503425800; 25225041600; 8882430000,MARRIED MEN'S PERSPECTIVES AND REPRODUCTIVE BEHAVIORS ON FERTILITY IN THE PROVINCE WITH THE HIGHEST FERTILITY RATE IN TURKEY: A MIX METHOD STUDY; [TÜRKİYE'DE DOĞURGANLIĞIN EN YÜKSEK OLDUĞU İLDE EVLİ ERKEKLERİN ÜREME DAVRANIŞLARI VE DOĞURGANLIĞA BAKIŞ AÇILARI: KARMA YÖNTEM ARAŞTIRMASI],2022,Nobel Medicus,18,2,,89,98,9.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137334626&partnerID=40&md5=606711a2e1417b1389833e2dafea40e1,Article,Final,,Scopus,2-s2.0-85137334626
165,Kirillov V.M.; Razinkov S.L.,"Kirillov, Viktor M. (57195627194); Razinkov, Sergei L. (57864668600)",57195627194; 57864668600,"Social portrait of persons mobilized for labor in the forced labor camps of the Urals, 1941–1946; [Социальный портрет трудмобилизованных в лагеря принудительного труда Урала, 1941–1946 гг.]",2022,Historia Provinciae - Zurnal Regional'noj Istorii,6,4,,1252,1290,38.0,0,10.23859/2587-8344-2022-6-4-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172468228&doi=10.23859%2f2587-8344-2022-6-4-4&partnerID=40&md5=b1f7a1e95b4105d0366a090e5a8f3f2f,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85172468228
166,Lin F.,"Lin, Faqin (39161520100)",39161520100,"Agriculture exports, child labor and youth education: Evidence from 68 developing countries",2022,Review of International Economics,30,2,,490,513,23.0,5,10.1111/roie.12572,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112649178&doi=10.1111%2froie.12572&partnerID=40&md5=24d3d99c10a17e9aa4ebb38afd49c6df,Article,Final,,Scopus,2-s2.0-85112649178
167,Quandt S.A.; Arnold T.J.; Arcury T.A.; Talton J.W.; Daniel S.S.,"Quandt, Sara A. (7005921858); Arnold, Taylor J. (57203877920); Arcury, Thomas A. (7005890732); Talton, Jennifer W. (35338060600); Daniel, Stephanie S. (57202874774)",7005921858; 57203877920; 7005890732; 35338060600; 57202874774,Self-reported physical demands associated with crops and job tasks among Latinx hired child farmworkers,2021,Journal of Occupational and Environmental Medicine,63,12,,E838,E845,7.0,2,10.1097/JOM.0000000000002322,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120973663&doi=10.1097%2fJOM.0000000000002322&partnerID=40&md5=60243aca732d8288f923d7065450569f,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85120973663
168,Montague C.,"Montague, Christopher (58531902100)",58531902100,A Black Construction of Colonialism: The Black Marxist Response to Fascism in the 1930s,2022,Souls,23,3-4,,211,234,23.0,0,10.1080/10999949.2023.2223385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167575060&doi=10.1080%2f10999949.2023.2223385&partnerID=40&md5=25a2ca4dca37ab18209f8b3a66dc85c9,Article,Final,,Scopus,2-s2.0-85167575060
169,Arvidsson R.; Chordia M.; Nordelöf A.,"Arvidsson, Rickard (35723723200); Chordia, Mudit (37074376800); Nordelöf, Anders (56324429600)",35723723200; 37074376800; 56324429600,Quantifying the life-cycle health impacts of a cobalt-containing lithium-ion battery,2022,International Journal of Life Cycle Assessment,27,8,,1106,1118,12.0,17,10.1007/s11367-022-02084-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135810043&doi=10.1007%2fs11367-022-02084-3&partnerID=40&md5=baa1f39627bd3c566e3e3cca37374e80,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85135810043
172,Blouin A.,"Blouin, Arthur (57209100459)",57209100459,Culture and Contracts: The Historical Legacy of Forced Labour,2022,Economic Journal,132,641,,89,105,16.0,5,10.1093/ej/ueab031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143131420&doi=10.1093%2fej%2fueab031&partnerID=40&md5=c51a132b4325eaca0e5223e8b34206aa,Article,Final,,Scopus,2-s2.0-85143131420
174,Underhill V.; Esparza R.,"Underhill, Vivian (57199845144); Esparza, Rosanna (57656744000)",57199845144; 57656744000,"Wildflowers and Water: Desire, Joy, and Creativity in Environmental Justice Organizing",2022,Environmental Justice,15,2,,115,120,5.0,3,10.1089/env.2021.0058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129216384&doi=10.1089%2fenv.2021.0058&partnerID=40&md5=168ad0c012ffc5c8fb8937fc8cc2bfcf,Article,Final,,Scopus,2-s2.0-85129216384
175,Fernández García M.; Molinero-Gerbeau Y.; Sajir Z.,"Fernández García, Mercedes (57218556375); Molinero-Gerbeau, Yoan (57201699417); Sajir, Zakaria (57209586433)",57218556375; 57201699417; 57209586433,‘They think you belong to them’: migrant workers’ perspectives on labour exploitation in Spain,2023,Journal of Ethnic and Migration Studies,49,15,,3976,3995,19.0,3,10.1080/1369183X.2023.2235896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165142686&doi=10.1080%2f1369183X.2023.2235896&partnerID=40&md5=10c57bdc57901edda5e1fe8e56d6eca6,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85165142686
